Contractor_Name,Federal_ID,Region,Job_Title,Skill_Level,Hourly_Wage_Rate,Hourly_Bill_Rate,Markup_Percent,Is_Our_Rate,Formula_Version
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Database Administrator,Senior,34.89,69.77,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Database Administrator,Senior,35.94,71.87,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Database Administrator,Senior,37.02,74.04,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Database Administrator,Expert,38.15,76.30,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Database Administrator,Expert,39.29,78.59,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Database Administrator,Expert,40.48,80.96,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Database Architect,Junior,26.06,52.12,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Database Architect,Junior,26.06,52.12,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Database Architect,Junior,26.84,53.68,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Database Architect,Mid-Level,32.27,64.54,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Database Architect,Mid-Level,33.24,66.48,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Database Architect,Mid-Level,34.24,68.47,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Database Architect,Senior,38.21,76.43,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Database Architect,Senior,39.36,78.71,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Database Architect,Senior,40.54,81.08,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Database Architect,Expert,41.79,83.57,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Database Architect,Expert,43.04,86.09,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Database Architect,Expert,44.33,88.66,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Database Manager,Junior,24.93,49.85,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Database Manager,Junior,25.68,51.36,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Database Manager,Junior,26.44,52.88,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Database Manager,Mid-Level,30.87,61.74,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Database Manager,Mid-Level,31.80,63.59,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Database Manager,Mid-Level,32.74,65.49,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Database Manager,Senior,36.55,73.11,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Database Manager,Senior,37.65,75.29,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Database Manager,Senior,38.78,77.56,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Database Manager,Expert,39.97,79.95,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Database Manager,Expert,41.17,82.34,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Database Manager,Expert,42.41,84.81,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Graphic Designer,Junior,23.11,46.23,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Graphic Designer,Junior,23.11,46.23,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Graphic Designer,Junior,23.80,47.61,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Graphic Designer,Mid-Level,28.62,57.25,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Graphic Designer,Mid-Level,29.48,58.96,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Graphic Designer,Mid-Level,30.36,60.73,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Graphic Designer,Senior,33.89,67.77,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Graphic Designer,Senior,34.91,69.81,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Graphic Designer,Senior,35.96,71.91,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Graphic Designer,Expert,37.06,74.12,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Graphic Designer,Expert,38.17,76.34,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Graphic Designer,Expert,39.32,78.63,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Help Desk Manager,Junior,25.61,51.21,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Help Desk Manager,Junior,25.61,51.21,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Help Desk Manager,Junior,26.38,52.76,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Help Desk Manager,Mid-Level,31.71,63.43,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Help Desk Manager,Mid-Level,32.66,65.32,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Help Desk Manager,Mid-Level,33.64,67.28,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Help Desk Manager,Senior,37.54,75.09,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Help Desk Manager,Senior,38.68,77.35,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Help Desk Manager,Senior,39.83,79.66,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Help Desk Manager,Expert,41.06,82.11,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Help Desk Manager,Expert,42.29,84.58,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Help Desk Manager,Expert,43.56,87.12,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,IT Manager,Junior,25.83,51.66,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,IT Manager,Junior,25.83,51.66,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,IT Manager,Junior,26.60,53.21,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,IT Manager,Mid-Level,31.99,63.98,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,IT Manager,Mid-Level,32.95,65.90,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,IT Manager,Mid-Level,33.94,67.88,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,IT Manager,Senior,37.88,75.77,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,IT Manager,Senior,39.02,78.03,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,IT Manager,Senior,40.19,80.38,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,IT Manager,Expert,41.43,82.85,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,IT Manager,Expert,42.66,85.33,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,IT Manager,Expert,43.95,87.90,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,IT Specialist,Junior,26.51,53.02,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,IT Specialist,Junior,27.31,54.61,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,IT Specialist,Junior,28.13,56.26,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,IT Specialist,Mid-Level,32.83,65.65,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,IT Specialist,Mid-Level,33.81,67.63,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,IT Specialist,Mid-Level,34.83,69.67,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,IT Specialist,Senior,38.87,77.74,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,IT Specialist,Senior,40.05,80.09,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,IT Specialist,Senior,41.24,82.48,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,IT Specialist,Expert,42.51,85.02,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,IT Specialist,Expert,43.79,87.57,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,IT Specialist,Expert,45.10,90.21,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Network Administrator,Junior,26.06,52.12,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Network Administrator,Junior,26.32,52.63,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Network Administrator,Junior,27.11,54.22,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Network Administrator,Mid-Level,32.27,64.54,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Network Administrator,Mid-Level,33.24,66.48,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Network Administrator,Mid-Level,34.24,68.47,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Network Administrator,Senior,38.21,76.43,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Network Administrator,Senior,39.36,78.71,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Network Administrator,Senior,40.54,81.08,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Network Administrator,Expert,41.79,83.57,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Network Administrator,Expert,43.04,86.09,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Network Administrator,Expert,44.33,88.66,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Network Architect,Junior,27.65,55.29,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Network Architect,Junior,28.48,56.96,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Network Architect,Junior,29.33,58.67,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Network Architect,Mid-Level,34.24,68.47,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Network Architect,Mid-Level,35.26,70.51,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Network Architect,Mid-Level,36.32,72.64,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Network Architect,Senior,40.54,81.08,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Network Architect,Senior,41.76,83.51,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Network Architect,Senior,43.00,86.01,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Network Architect,Expert,44.33,88.66,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Network Architect,Expert,45.66,91.32,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Network Architect,Expert,47.03,94.06,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Operations Manager,Junior,25.61,51.21,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Operations Manager,Junior,25.61,51.21,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Operations Manager,Junior,26.38,52.76,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Operations Manager,Mid-Level,31.71,63.43,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Operations Manager,Mid-Level,32.66,65.32,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Operations Manager,Mid-Level,33.64,67.28,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Operations Manager,Senior,37.54,75.09,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Operations Manager,Senior,38.68,77.35,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Operations Manager,Senior,39.83,79.66,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Operations Manager,Expert,41.06,82.11,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Operations Manager,Expert,42.29,84.58,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Operations Manager,Expert,43.56,87.12,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Programmer,Junior,24.47,48.95,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Programmer,Junior,24.47,48.95,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Programmer,Junior,25.20,50.41,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Programmer,Mid-Level,30.30,60.61,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Programmer,Mid-Level,31.22,62.44,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Programmer,Mid-Level,32.15,64.29,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Programmer,Senior,35.89,71.77,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Programmer,Senior,36.97,73.93,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Programmer,Senior,38.07,76.14,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Programmer,Expert,39.24,78.49,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Programmer,Expert,40.42,80.83,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Programmer,Expert,41.63,83.27,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Project Manager,Junior,24.93,49.85,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Project Manager,Junior,24.93,49.85,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Project Manager,Junior,25.68,51.36,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Project Manager,Mid-Level,30.87,61.74,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Project Manager,Mid-Level,31.80,63.59,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Project Manager,Mid-Level,32.74,65.49,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Project Manager,Senior,36.55,73.11,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Project Manager,Senior,37.65,75.29,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Project Manager,Senior,38.78,77.56,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Project Manager,Expert,39.97,79.95,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Project Manager,Expert,41.17,82.34,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Project Manager,Expert,42.41,84.81,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Security Analyst,Junior,29.46,58.92,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Security Analyst,Junior,29.46,58.92,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Security Analyst,Junior,29.76,59.51,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Security Analyst,Mid-Level,36.48,72.97,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Security Analyst,Mid-Level,37.57,75.15,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Security Analyst,Mid-Level,39.08,78.16,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Security Analyst,Senior,43.20,86.40,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Security Analyst,Senior,44.50,88.99,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Security Analyst,Senior,46.27,92.54,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Security Analyst,Expert,47.24,94.47,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Security Analyst,Expert,48.66,97.31,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Security Analyst,Expert,50.60,101.21,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Security Manager,Junior,28.33,56.65,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Security Manager,Junior,29.18,58.36,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Security Manager,Junior,29.47,58.94,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Security Manager,Mid-Level,35.07,70.14,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Security Manager,Mid-Level,36.13,72.26,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Security Manager,Mid-Level,37.57,75.15,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Security Manager,Senior,41.53,83.06,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Security Manager,Senior,42.78,85.55,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Security Manager,Senior,44.50,88.99,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Security Manager,Expert,45.42,90.85,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Security Manager,Expert,46.78,93.57,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Security Manager,Expert,48.66,97.31,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Software Analyst,Junior,27.19,54.38,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Software Analyst,Junior,28.01,56.01,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Software Analyst,Junior,28.85,57.70,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Software Analyst,Mid-Level,33.67,67.34,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Software Analyst,Mid-Level,34.68,69.36,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Software Analyst,Mid-Level,35.72,71.44,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Software Analyst,Senior,39.87,79.74,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Software Analyst,Senior,41.07,82.13,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Software Analyst,Senior,42.30,84.60,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Software Analyst,Expert,43.60,87.20,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Software Analyst,Expert,44.91,89.82,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Software Analyst,Expert,46.26,92.51,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Software Architect,Junior,28.33,56.65,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Software Architect,Junior,29.18,58.36,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Software Architect,Junior,30.06,60.11,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Software Architect,Mid-Level,35.07,70.14,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Software Architect,Mid-Level,36.13,72.26,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Software Architect,Mid-Level,37.21,74.43,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Software Architect,Senior,41.53,83.06,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Software Architect,Senior,42.78,85.55,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Software Architect,Senior,44.06,88.13,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Software Architect,Expert,45.42,90.85,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Software Architect,Expert,46.78,93.57,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Software Architect,Expert,48.18,96.37,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Software Developer,Junior,24.93,49.85,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Software Developer,Junior,25.68,51.36,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Software Developer,Junior,26.44,52.88,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Software Developer,Mid-Level,30.87,61.74,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Software Developer,Mid-Level,31.80,63.59,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Software Developer,Mid-Level,32.74,65.49,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Software Developer,Senior,36.55,73.11,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Software Developer,Senior,37.65,75.29,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Software Developer,Senior,38.78,77.56,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Software Developer,Expert,39.97,79.95,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Software Developer,Expert,41.17,82.34,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Software Developer,Expert,42.41,84.81,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Software Manager,Junior,26.06,52.12,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Software Manager,Junior,26.84,53.68,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Software Manager,Junior,27.65,55.29,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Software Manager,Mid-Level,32.27,64.54,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Software Manager,Mid-Level,33.24,66.48,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Software Manager,Mid-Level,34.24,68.47,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Software Manager,Senior,38.21,76.43,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Software Manager,Senior,39.36,78.71,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Software Manager,Senior,40.54,81.08,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Software Manager,Expert,41.79,83.57,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Software Manager,Expert,43.04,86.09,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Software Manager,Expert,44.33,88.66,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Systems Administrator,Junior,27.19,54.38,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Systems Administrator,Junior,28.01,56.01,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Systems Administrator,Junior,28.85,57.70,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Systems Administrator,Mid-Level,33.67,67.34,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Systems Administrator,Mid-Level,34.68,69.36,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Systems Administrator,Mid-Level,35.72,71.44,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Systems Administrator,Senior,39.87,79.74,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Systems Administrator,Senior,41.07,82.13,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Systems Administrator,Senior,42.30,84.60,100.00,false,
