Job_Title,Skill,Region,Sourced_Wage_2026,Markup_%,Quoted_Bill_2026,Bill_Rank,Field,Net_Margin_%
Network Architect,Expert,Region 2,42.59,110,89.44,12,33,38.5
Network Architect,Expert,Region 3,45.25,110,95.03,12,33,38.5
Operations Manager,Expert,Region 1,36.5,110,76.65,9,33,38.5
Operations Manager,Expert,Region 2,39.96,110,83.92,20,33,38.5
Operations Manager,Expert,Region 3,39.96,110,83.92,13,33,38.5
Programmer,Expert,Region 1,39.66,110,83.29,18,33,38.5
Programmer,Expert,Region 2,38.6,110,81.06,16,33,38.5
Programmer,Expert,Region 3,44.71,100,89.42,16,33,35.5
Project Manager,Expert,Region 1,50.53,100,101.06,27,33,35.5
Project Manager,Expert,Region 2,47.4,100,94.8,17,33,35.5
Project Manager,Expert,Region 3,50.53,100,101.06,12,33,35.5
Security Analyst,Expert,Region 1,46.84,100,93.68,18,33,35.5
Security Analyst,Expert,Region 2,46.84,100,93.68,19,33,35.5
Security Analyst,Expert,Region 3,46.84,110,98.36,18,33,38.5
Security Manager,Expert,Region 1,50.53,100,101.06,19,33,35.5
Security Manager,Expert,Region 2,50.53,100,101.06,21,33,35.5
Security Manager,Expert,Region 3,50.53,110,106.11,21,33,38.5
Software Analyst,Expert,Region 1,41.92,100,83.84,15,33,35.5
Software Analyst,Expert,Region 2,38.6,110,81.06,16,33,38.5
Software Analyst,Expert,Region 3,41.26,110,86.65,14,33,38.5
Software Architect,Expert,Region 1,47.65,110,100.06,17,33,38.5
Software Architect,Expert,Region 2,46.34,110,97.31,17,33,38.5
Software Architect,Expert,Region 3,48.07,110,100.95,11,33,38.5
Software Developer,Expert,Region 1,41.65,110,87.47,19,33,38.5
Software Developer,Expert,Region 2,42.05,100,84.1,15,33,35.5
Software Developer,Expert,Region 3,45.77,100,91.54,19,33,35.5
Software Manager,Expert,Region 1,44.71,110,93.89,15,33,38.5
Software Manager,Expert,Region 2,44.71,110,93.89,16,33,38.5
Software Manager,Expert,Region 3,44.71,110,93.89,6,33,38.5
Systems Administrator,Expert,Region 1,39.91,100,79.82,17,33,35.5
Systems Administrator,Expert,Region 2,41.4,100,82.8,23,33,35.5
Systems Administrator,Expert,Region 3,44.71,100,89.42,24,33,35.5
Systems Analyst,Expert,Region 1,39.92,110,83.83,17,33,38.5
Systems Analyst,Expert,Region 2,39.93,110,83.85,21,33,38.5
Systems Analyst,Expert,Region 3,43.15,110,90.61,21,33,38.5
Systems Architect,Expert,Region 1,49.77,100,99.54,21,33,35.5
Systems Architect,Expert,Region 2,43.93,110,92.25,11,33,38.5
Systems Architect,Expert,Region 3,49.02,110,102.94,17,33,38.5
Systems Developer,Expert,Region 1,43.6,100,87.2,14,33,35.5
Systems Developer,Expert,Region 2,39.96,110,83.92,13,33,38.5
Systems Developer,Expert,Region 3,45.25,110,95.03,21,33,38.5
Technical Writer,Expert,Region 1,28.28,100,56.56,16,33,35.5
Technical Writer,Expert,Region 2,28.75,100,57.5,20,33,35.5
Technical Writer,Expert,Region 3,29.07,100,58.14,10,33,35.5
Tester,Expert,Region 1,31.97,100,63.94,12,33,35.5
Tester,Expert,Region 2,34.65,100,69.3,27,33,35.5
Tester,Expert,Region 3,36.88,100,73.76,24,33,35.5
Training Developer,Expert,Region 1,29.18,110,61.28,9,33,38.5
Training Developer,Expert,Region 2,30.63,110,64.32,14,33,38.5
Training Developer,Expert,Region 3,30.63,110,64.32,10,33,38.5
Web Administrator,Expert,Region 1,38.3,110,80.43,21,33,38.5
Web Administrator,Expert,Region 2,38.62,100,77.24,19,33,35.5
Web Administrator,Expert,Region 3,40.46,100,80.92,19,33,35.5
Web Designer,Expert,Region 1,33.31,110,69.95,16,33,38.5
Web Designer,Expert,Region 2,34.6,100,69.2,16,33,35.5
Web Designer,Expert,Region 3,36.73,110,77.13,18,33,38.5
Web Developer,Expert,Region 1,37.26,110,78.25,11,33,38.5
Web Developer,Expert,Region 2,37.26,110,78.25,9,33,38.5
Web Developer,Expert,Region 3,40.91,110,85.91,13,33,38.5
Web Manager,Expert,Region 1,35.15,110,73.81,4,33,38.5
Web Manager,Expert,Region 2,36.88,110,77.45,7,33,38.5
Web Manager,Expert,Region 3,40.58,110,85.22,14,33,38.5
