Job_Title,Skill_Level,Historical_2021_Rate,Bid_Year_2026_Rate,Target_Year_2029_Rate,Markup_Pct,Net_Margin_Pct,Bill_Rank_2026
Operations Manager,Senior,55.44,68.38,73.27,110,38.5,15
Operations Manager,Expert,60.34,74.42,79.74,110,38.5,9
Programmer,Junior,34.36,42.38,45.41,100,35.5,17
Programmer,Mid-Level,42.32,52.19,55.92,110,38.5,1
Programmer,Senior,58.08,71.63,76.75,110,38.5,16
Programmer,Expert,65.55,80.85,86.63,110,38.5,18
Project Manager,Junior,37.41,46.14,49.44,110,38.5,15
Project Manager,Mid-Level,48.4,59.7,63.97,110,38.5,18
Project Manager,Senior,62.92,77.6,83.15,100,35.5,14
Project Manager,Expert,79.56,98.12,105.13,100,35.5,27
Security Analyst,Junior,40.78,50.3,53.89,100,35.5,24
Security Analyst,Mid-Level,54.47,67.18,71.98,100,35.5,25
Security Analyst,Senior,67.05,82.7,88.61,100,35.5,23
Security Analyst,Expert,73.75,90.96,97.46,100,35.5,18
Security Manager,Junior,42.76,52.74,56.51,100,35.5,23
Security Manager,Mid-Level,57.02,70.32,75.35,100,35.5,22
Security Manager,Senior,73.75,90.96,97.46,100,35.5,26
Security Manager,Expert,79.56,98.12,105.13,100,35.5,19
Software Analyst,Junior,35.2,43.41,46.51,110,38.5,20
Software Analyst,Mid-Level,45.86,56.56,60.6,100,35.5,19
Software Analyst,Senior,56.58,69.78,74.77,100,35.5,13
Software Analyst,Expert,69.3,85.47,91.58,110,38.5,21
Software Architect,Junior,41.9,51.68,55.37,100,35.5,16
Software Architect,Mid-Level,55.0,67.83,72.68,110,38.5,17
Software Architect,Senior,70.41,86.84,93.05,110,38.5,20
Software Architect,Expert,78.77,97.15,104.09,110,38.5,17
Software Developer,Junior,36.08,44.5,47.68,110,38.5,21
Software Developer,Mid-Level,48.4,59.7,63.97,110,38.5,19
Software Developer,Senior,61.15,75.42,80.81,100,35.5,21
Software Developer,Expert,68.85,84.92,90.99,110,38.5,18
Software Manager,Junior,37.41,46.14,49.44,110,38.5,12
Software Manager,Mid-Level,47.52,58.61,62.8,110,38.5,13
Software Manager,Senior,61.91,76.36,81.82,110,38.5,11
Software Manager,Expert,73.91,91.16,97.67,110,38.5,15
Systems Administrator,Junior,33.62,41.46,44.42,100,35.5,22
Systems Administrator,Mid-Level,41.39,51.05,54.7,110,38.5,17
Systems Administrator,Senior,54.69,67.45,72.27,110,38.5,19
Systems Administrator,Expert,62.84,77.5,83.04,100,35.5,17
Systems Analyst,Junior,35.2,43.41,46.51,110,38.5,19
Systems Analyst,Mid-Level,49.78,61.4,65.79,100,35.5,28
Systems Analyst,Senior,55.44,68.38,73.27,110,38.5,16
Systems Analyst,Expert,66.0,81.4,87.22,110,38.5,17
Systems Architect,Junior,37.41,46.14,49.44,110,38.5,9
Systems Architect,Mid-Level,48.4,59.7,63.97,110,38.5,6
Systems Architect,Senior,70.39,86.82,93.02,100,35.5,21
Systems Architect,Expert,78.36,96.64,103.55,100,35.5,21
Systems Developer,Junior,36.08,44.5,47.68,110,38.5,16
Systems Developer,Mid-Level,44.07,54.35,58.23,110,38.5,7
Systems Developer,Senior,60.72,74.89,80.24,110,38.5,17
Systems Developer,Expert,68.64,84.66,90.71,100,35.5,14
Technical Writer,Junior,31.43,38.76,41.53,100,35.5,29
Technical Writer,Mid-Level,33.52,41.34,44.29,100,35.5,26
Technical Writer,Senior,37.57,46.34,49.65,100,35.5,13
Technical Writer,Expert,44.53,54.92,58.84,100,35.5,16
Tester,Junior,29.33,36.18,38.77,100,35.5,11
Tester,Mid-Level,36.96,45.58,48.84,100,35.5,18
Tester,Senior,46.19,56.97,61.04,110,38.5,20
Tester,Expert,52.85,65.18,69.84,110,38.5,21
Training Developer,Junior,31.43,38.76,41.53,100,35.5,18
Training Developer,Mid-Level,39.72,48.99,52.49,110,38.5,19
Training Developer,Senior,46.3,57.1,61.18,110,38.5,18
Training Developer,Expert,48.23,59.49,63.74,110,38.5,8
Web Administrator,Junior,33.62,41.46,44.42,100,35.5,22
Web Administrator,Mid-Level,42.82,52.81,56.58,110,38.5,17
Web Administrator,Senior,53.25,65.68,70.37,100,35.5,18
Web Administrator,Expert,63.31,78.08,83.66,110,38.5,21
Web Designer,Junior,31.43,38.76,41.53,100,35.5,16
Web Designer,Mid-Level,42.82,52.81,56.58,110,38.5,21
Web Designer,Senior,50.83,62.69,67.17,110,38.5,21
Web Designer,Expert,55.06,67.91,72.76,110,38.5,16
Web Developer,Junior,34.36,42.38,45.41,100,35.5,17
Web Developer,Mid-Level,46.19,56.97,61.04,110,38.5,14
Web Developer,Senior,55.44,68.38,73.27,110,38.5,12
Web Developer,Expert,61.59,75.96,81.39,110,38.5,11
Web Manager,Junior,34.3,42.31,45.33,110,38.5,12
Web Manager,Mid-Level,46.65,57.54,61.65,110,38.5,18
Web Manager,Senior,52.85,65.18,69.84,110,38.5,7
Web Manager,Expert,58.11,71.67,76.79,110,38.5,4
